"['035760', 'CJ ENM', '144790', '+259900', '11.97', '21705', '13.5', '1.57', '13.19', '165443']"
"['035810', '이지바이오', '267989', '+7280', '13.38', '544', '9.0', '1.18', '6.60', '6154']"
"['035890', '서희건설', '6574369', '-1605', '8.40', '191', '13.4', '1.10', '1.90', '1465']"
"['035900', 'JYP Ent.', '728763', '-29850', '58.30', '512', '21.4', '12.17', '44.88', '2452']"
"['036000', '예림당', '103923', '-9020', '10.60', '851', '19.7', '1.92', '1.42', '4706']"
"['036010', '아비코전자', '92344', '+7750', '13.43', '577', '8.9', '1.17', '4.42', '6635']"
"['036030', 'KTH', '4637', '+5550', '61.67', '90', '1.6', '0.97', '4.68', '5748']"
"['036090', '위지트', '438380', '1345', '20.69', '65', '8.2', '1.61', '19.40', '833']"
"['036120', 'SCI평가정보', '355035', '+3220', '0.00', '0', '-0.9', '8.41', '70.66', '383']"
"['036170', '씨티젠', '185722', '+3925', '0.00', '0', '-1.3', '1.50', '20.06', '2625']"
"['036180', '영인프런티어', '307854', '+6420', '26.42', '243', '18.1', '4.37', '57.77', '1469']"
"['036190', '금화피에스시', '4534', '-34850', '10.34', '3369', '11.5', '1.14', '2.26', '30651']"
"['036200', '유니셈', '153986', '+6370', '7.97', '799', '29.8', '2.19', '5.59', '2906']"
"['036260', '이매진아시아', '660950', '-2395', '0.00', '0', '-43.1', '2.33', '', '1030']"
"['036420', '제이콘텐트리', '2091913', '+6690', '123.89', '54', '5.3', '5.06', '15.48', '1321']"
"['036480', '대성미생물', '187912', '+16150', '39.39', '410', '5.3', '2.02', '17.93', '7979']"
"['036490', 'SK머티리얼즈', '34473', '+174400', '17.23', '10124', '25.3', '4.77', '10.56', '36567']"
"['036540', 'SFA반도체', '97111', '+1985', '29.19', '68', '3.8', '1.12', '5.38', '1773']"
"['036560', '영풍정밀', '29769', '-7700', '13.25', '581', '3.0', '0.39', '8.17', '19788']"
"['036620', '버추얼텍', '101358', '-1205', '0.00', '0', '-27.9', '3.46', '266.97', '348']"
"['036630', '세종텔레콤', '3480148', '+598', '85.43', '7', '1.2', '1.08', '10.25', '552']"
"['036640', 'HRS', '21127', '-3505', '9.13', '384', '8.1', '0.71', '5.76', '4918']"
"['036670', 'KCI', '133452', '+10300', '27.84', '370', '8.3', '2.37', '16.78', '4346']"
"['036690', '코맥스', '18916', '-4635', '8.91', '520', '12.1', '1.04', '4.96', '4448']"
"['036710', '심텍홀딩스', '17003', '-2020', '49.27', '41', '1.3', '0.62', '3.28', '3270']"
"['036800', '나이스정보통신', '6254', '-23100', '6.00', '3849', '22.1', '1.29', '1.56', '17971']"
"['036810', '에프에스티', '87942', '+5820', '9.33', '624', '14.0', '1.42', '8.06', '4088']"
"['036830', '솔브레인', '60706', '+62500', '24.68', '2532', '6.9', '1.69', '6.32', '37072']"
"['036890', '진성티이씨', '144242', '+9080', '16.97', '535', '9.9', '1.98', '8.93', '4581']"
"['036930', '주성엔지니어링', '169867', '+8310', '9.54', '871', '25.0', '2.13', '7.00', '3905']"
"['037030', '파워넷', '219729', '-6610', '9.84', '672', '23.9', '2.11', '8.29', '3136']"
"['037070', '파세코', '49629', '-4935', '18.76', '263', '5.4', '1.01', '8.61', '4868']"
"['037230', '한국팩키지', '94422', '2265', '19.87', '114', '7.0', '1.36', '11.78', '1669']"
"['037330', '인지디스플레', '25045', '-1630', '28.60', '57', '1.4', '0.42', '3.86', '3926']"
"['037350', '성도이엔지', '51906', '-6200', '4.19', '1480', '12.4', '0.52', '1.60', '12003']"
"['037370', 'EG', '24228', '-8000', '0.00', '0', '-1.2', '1.18', '23.75', '6764']"
"['037400', '우리조명', '25544', '-1180', '0.00', '0', '-6.7', '0.36', '3.75', '3234']"
"['037440', '희림', '22762', '+4755', '16.51', '288', '7.4', '1.28', '8.46', '3705']"
"['037460', '삼지전자', '73804', '11450', '6.55', '1749', '17.3', '1.13', '4.37', '10094']"
"['037760', '쎄니트', '109639', '2050', '11.26', '182', '9.5', '1.02', '7.64', '2007']"
"['037950', '엘컴텍', '279071', '-1945', '27.79', '70', '7.8', '2.16', '24.00', '901']"
